업소명,업태,주소,원본_위도,원본_경도,VWorld_위도,VWorld_경도,오차_m
대둔산 호텔,일반호텔,전북특별자치도 완주군 운주면 대둔산공원길 45,36.1161689,127.3308458,36.1162644,127.3304880,34
무주펜션 선앤문,숙박업 기타,전북특별자치도 무주군 설천면 보안길 48-7,35.9093558,127.7720004,35.9094446,127.7716442,34
모텔 승마,여관업,전북특별자치도 장수군 계남면 장무로 171-28,35.7268298,127.5804347,35.7265508,127.5802968,33
온성장 모텔,여관업,전북특별자치도 익산시 익산대로20길 40 (창인동1가),35.9415911,126.9522023,35.9413136,126.9520612,33
반디펜션,숙박업(생활),전북특별자치도 무주군 부남면 노루재로 302-34,35.8841755,127.6011372,35.8842877,127.6008014,33
씨앤스타,숙박업(생활),"전북특별자치도 부안군 변산면 변산해변로 245, C동",35.6417921,126.4721351,35.6416508,126.4718283,32
오늘은 힐링,숙박업(생활),전북특별자치도 남원시 금지면 금지순환길 633-59,35.3627189,127.2709220,35.3624453,127.2710247,32
라하트,숙박업(생활),"전북특별자치도 정읍시 고부면 고부동서로 231, A,B,C동  1층",35.5859807,126.7460768,35.5860013,126.7457267,32
스테이 80 B,숙박업 기타,전북특별자치도 부안군 변산면 고사길 80,35.6546262,126.5096691,35.6548071,126.5093975,32
모텔 궁,여관업,전북특별자치도 김제시 진봉면 심포6길 89-5,35.8560389,126.7051243,35.8558915,126.7048361,31
춘향가,여관업,"전북특별자치도 남원시 양림길 28-12 (어현동,외1필지)",35.4015829,127.3877301,35.4013117,127.3876859,30
모항레저타운,여관업,전북특별자치도 부안군 변산면 변산로 3554-9,35.5834179,126.5042002,35.5836211,126.5044241,30
운호관광농원여관,여관업,전북특별자치도 부안군 진서면 청자로 445,35.5937059,126.5669435,35.5936516,126.5666147,30
성림장,여관업,전북특별자치도 남원시 의총로 61 (금동),35.4062272,127.3760699,35.4060665,127.3758004,30
필오피스텔,숙박업(생활),전북특별자치도 익산시 중앙로 22-168 (중앙동2가),35.9381942,126.9486345,35.9383067,126.9483375,30
힐링드라이브인무인호텔,일반호텔,전북특별자치도 완주군 상관면 춘향로 4433-6,35.7466026,127.2206089,35.7463553,127.2207235,29
지리산구룡호텔,일반호텔,전북특별자치도 남원시 인월면 천왕봉로 143,35.4533297,127.6095001,35.4531674,127.6097545,29
드라마모텔,여관업,전북특별자치도 남원시 요천로 1529 (죽항동),35.4071431,127.3869318,35.4068857,127.3869352,29
무주펜션 홀리데이,숙박업(생활),전북특별자치도 무주군 설천면 외배방길 12-1,35.9089565,127.7585478,35.9087017,127.7585920,29
게스트하우스,숙박업(생활),전북특별자치도 완주군 고산면 남봉로 75,35.9702850,127.2013291,35.9701053,127.2011019,29
강천산모텔,여관업,전북특별자치도 순창군 팔덕면 강천로 116,35.3789064,127.1107589,35.3786544,127.1107703,28
순창군 쉴랜드,숙박업(생활),전북특별자치도 순창군 인계면 인덕로 427-148,35.4293296,127.1320161,35.4295684,127.1319339,28
무주 모모펜션,숙박업(생활),전북특별자치도 무주군 설천면 원삼공1길 22,35.9080624,127.7818816,35.9083055,127.7818241,28
크크크키즈풀빌라(다),숙박업(생활),"전북특별자치도 고창군 상하면 진암구시포로 361-38, 3동",35.4359463,126.4506102,35.4359173,126.4503095,27
크크크 키즈풀빌라(나),숙박업(생활),"전북특별자치도 고창군 상하면 진암구시포로 361-38, 2동",35.4359463,126.4506102,35.4359173,126.4503095,27
크크크키즈풀빌라(크크크 kidspoolvilla),숙박업(생활),"전북특별자치도 고창군 상하면 진암구시포로 361-38, 4동",35.4359463,126.4506102,35.4359173,126.4503095,27
한솔모텔,여관업,전북특별자치도 임실군 오수면 금암남길 7,35.5300727,127.3397299,35.5302150,127.3394878,27
현대파크장,여관업,전북특별자치도 김제시 동서2길 14 (옥산동),35.7977082,126.8823948,35.7979261,126.8825201,27
오션빌리지 104,숙박업(생활),"전북특별자치도 부안군 변산면 변산해변로 243, B동",35.6418556,126.4715798,35.6416229,126.4716523,27
산자락,숙박업(생활),"전북특별자치도 남원시 산내면 천왕봉로 871-146, 주2~3동 1층",35.4142611,127.6509748,35.4141399,127.6507272,26
(W)더블유 모텔,숙박업(생활),전북특별자치도 무주군 설천면 만선로 46,35.9094166,127.7553499,35.9091815,127.7553480,26
신풍모텔,여관업,전북특별자치도 김제시 두월로 220 (신풍동),35.7942534,126.9041564,35.7943981,126.9043849,26
한증원 stay,숙박업(생활),"전북특별자치도 남원시 주천면 원천로 345-25, 주3동 2층",35.4033044,127.4265364,35.4033904,127.4268033,26
한증원 Stay,여관업,"전북특별자치도 남원시 주천면 원천로 345-25, 주3동 3-4층",35.4033044,127.4265364,35.4033904,127.4268033,26
크레용캠프펜션,숙박업 기타,"전북특별자치도 무주군 설천면 내배방길 15-25, 크레용캠프펜션 A, D동",35.9117194,127.7555950,35.9119518,127.7556180,26
크레용,숙박업 기타,"전북특별자치도 무주군 설천면 내배방길 15-25, 크레용펜션 B, C동",35.9117194,127.7555950,35.9119518,127.7556180,26
헤라신축모텔,여관업,전북특별자치도 남원시 충정로 220-8 (도통동),35.4223454,127.3939412,35.4224871,127.3937160,26
동백호텔,일반호텔,"전북특별자치도 고창군 아산면 중촌길 26, 동백모텔",35.5043924,126.5849829,35.5042211,126.5851705,26
일마레변산리조트(B동),숙박업 기타,전북특별자치도 부안군 변산면 궁항로 91,35.6034337,126.4749747,35.6034045,126.4746954,25
옥수풀빌라,숙박업 기타,전북특별자치도 부안군 변산면 궁항로 113,35.6026467,126.4733905,35.6024373,126.4732776,25
유한회사 해시락,숙박업 기타,전북특별자치도 부안군 변산면 궁항로 113,35.6026467,126.4733905,35.6024373,126.4732776,25
등대여인숙,여인숙업,전북특별자치도 정읍시 연지1길 50 (연지동),35.5732152,126.8447317,35.5729991,126.8446456,25
