업소명,도로명주소,원본_위도,원본_경도,VWorld_위도,VWorld_경도,오차_m
호남제일충전소,전북특별자치도 익산시 오산면 군익로 365,35.9473963,126.9278029,35.9473756,126.9276071,18
동신충전소,전북특별자치도 고창군 신림면 고인돌대로 2100,35.466222,126.6985548,35.4660646,126.6985361,18
서림엘피지충전소,전북특별자치도 부안군 부안읍 오리정로 42,35.7230015,126.7262715,35.7229169,126.7264311,17
진안충전소,전북특별자치도 진안군 진안읍 진장로 112,35.7888269,127.4412612,35.7886808,127.4412784,16
(주)동신산업동신LPG충전소완주지점,전북특별자치도 완주군 봉동읍 완주로 539 (외3필지),35.9123295,127.1606571,35.9123876,127.1608227,16
길상LPG충전소,전북특별자치도 전주시 덕진구 삼례로 115 (반월동),35.8879798,127.0767061,35.8881107,127.0767816,16
마이산LPG충전소,전북특별자치도 진안군 진안읍 전진로 3067,35.7778071,127.3966392,35.7779496,127.3966619,16
유한회사한양에너지엘피지,전북특별자치도 군산시 공항로 141 (산북동),35.9725338,126.6749209,35.9723990,126.6748824,15
신태인엘피지충전소,전북특별자치도 정읍시 신태인읍 감곡로 63,35.6974719,126.8966826,35.6973794,126.8968059,15
신흥엘피지충전소,전북특별자치도 정읍시 정읍북로 48,35.5695353,126.8653431,35.5695092,126.8655053,15
삼봉에너지,전북특별자치도 완주군 삼례읍 과학로 509,35.9139214,127.1247133,35.9140489,127.1246684,15
은혜충전소,전북특별자치도 전주시 덕진구 신복로 2 (팔복동1가),35.8527377,127.1122886,35.8526067,127.1122725,15
전주산정충전소,전북특별자치도 전주시 덕진구 전진로 62 (산정동),35.8422455,127.1753207,35.8423102,127.1751884,14
소양사랑LPG충전소,전북특별자치도 완주군 소양면 전진로 891,35.854223,127.25718,35.8541569,127.2573032,13
한신가스,전북특별자치도 군산시 조촌로 167 (조촌동),35.9792068,126.7372387,35.9791966,126.7373837,13
(주)승민에너지,전북특별자치도 익산시 함열읍 함열로 25,36.0761511,126.9578622,36.0762494,126.9577820,13
익산사랑충전소,전북특별자치도 익산시 평동로 854 (동산동),35.9240636,126.9716504,35.9241119,126.9717815,13
경기장LPG충전소,전북특별자치도 전주시 덕진구 원반월길 106 (장동),35.8645744,127.0616573,35.8646145,127.0617839,12
(유)전주에너지충전소,전북특별자치도 전주시 덕진구 신복로 96 (팔복동1가),35.8584176,127.1051729,35.8583744,127.1050491,12
(주)한유에너지동일충전소,전북특별자치도 군산시 외항1길 32-1 (소룡동),35.9801472,126.6719821,35.9801972,126.6721003,12
(유)우주에너지,전북특별자치도 김제시 금구면 선비로 899,35.7827004,127.0139583,35.7827682,127.0138577,12
(유)동유산업,전북특별자치도 전주시 완산구 콩쥐팥쥐로 1586 (상림동),35.8247475,127.0729679,35.8248103,127.0728672,11
소양엘피지(LPG)충전소,전북특별자치도 완주군 소양면 전진로 592,35.8525068,127.2293092,35.8525926,127.2292453,11
(유)현대에너지솔루션,전북특별자치도 부안군 행안면 변산로 47,35.7289595,126.7161063,35.7289917,126.7159913,11
에스케이(SK)군산충전소,전북특별자치도 군산시 구암3.1로 198 (구암동),35.9828597,126.7409545,35.9829119,126.7408524,11
(유)광진가스충전소,전북특별자치도 고창군 고창읍 중앙로 152,35.4351341,126.6920139,35.4350505,126.6919586,11
(주)동신산업동신LPG충전소김제지점,전북특별자치도 김제시 하공로 62 (하동),35.8155906,126.8900648,35.8155283,126.8901454,10
임실충전소,전북특별자치도 임실군 임실읍 춘향로 3007,35.6361525,127.2827331,35.6362240,127.2826803,9
