업소명,주소,제조구분,업태,원본_위도,원본_경도,VWorld_위도,VWorld_경도,오차_m
(주)SH에너지화학,전북특별자치도 군산시 외항7길 20 (소룡동),일반,제조,35.9677204,126.6247891,35.9679464,126.6221659,237
태권도진흥재단,전북특별자치도 무주군 설천면 무설로 1482,냉동,제조,36.0098516,127.7791472,36.0096616,127.7765311,236
대상(주) 전분당 군산공장,"전북특별자치도 군산시 외항로 884, 대상㈜ (소룡동)",냉동,제조,35.9571102,126.5748624,35.9572210,126.5722803,233
대상(주) 군산전분당공장,"전북특별자치도 군산시 외항로 884, 대상㈜ (소룡동)",냉동,제조,35.9571102,126.5748624,35.9572210,126.5722803,233
대상(주)군산전분당공장,전북특별자치도 군산시 외항로 884 (소룡동),냉동,제조,35.9571102,126.5748624,35.9572210,126.5722803,233
한국건설기계연구원,전북특별자치도 군산시 나포면 철새로 1138,냉동,제조,36.0518656,126.8629737,36.0539029,126.8632418,228
(주)참프레 부안공장(프레온99.6RT),전북특별자치도 부안군 행안면 옥여길 32-29,냉동,제조,35.7357836,126.7244935,35.7346351,126.7224607,224
(주)참프레(48RT 신고 냉동제조),전북특별자치도 부안군 행안면 옥여길 32-29,냉동,제조,35.7357836,126.7244935,35.7346351,126.7224607,224
주식회사 참프레(저장소 2),전북특별자치도 부안군 행안면 옥여길 32-29,,저장소,35.7357836,126.7244935,35.7346351,126.7224607,224
(주)참프레(2529.96RT 냉동제조),전북특별자치도 부안군 행안면 옥여길 32-29,냉동,제조,35.7357836,126.7244935,35.7346351,126.7224607,224
주식회사 참프레(저장소),전북특별자치도 부안군 행안면 옥여길 32-29,,저장소,35.7357836,126.7244935,35.7346351,126.7224607,224
(주)케이씨씨전주2공장,"전북특별자치도 완주군 봉동읍 과학로 764, KCC전주제2공장",냉동,제조,35.9368707,127.1271422,35.9350971,127.1282828,222
(주)케이씨씨-전주2공장,"전북특별자치도 완주군 봉동읍 과학로 764, KCC전주제2공장 에폭시동",냉동,제조,35.9368707,127.1271422,35.9350971,127.1282828,222
(주)케이씨씨-전주2공장,"전북특별자치도 완주군 봉동읍 과학로 764, KCC전주제2공장",냉동,제조,35.9368707,127.1271422,35.9350971,127.1282828,222
(주)케이씨씨전주2공장,"전북특별자치도 완주군 봉동읍 과학로 764, KCC전주제2공장",냉동,제조,35.9368707,127.1271422,35.9350971,127.1282828,222
(주)케이씨씨전주2공장,전북특별자치도 완주군 봉동읍 과학로 764,냉동,제조,35.9368707,127.1271422,35.9350971,127.1282828,222
(주)엘엑스글라스,전북특별자치도 군산시 외항1길 296 (소룡동),냉동,제조,35.9743006,126.6421719,35.9756292,126.6439932,221
(주)엘엑스글라스,전북특별자치도 군산시 외항1길 296 (주)엘엑스글라스 (소룡동),냉동,제조,35.9743006,126.6421719,35.9756292,126.6439932,221
(주)전주파워,전북특별자치도 전주시 덕진구 팔복로 59 (주)전주페이퍼 (팔복동2가),일반,제조,35.8481802,127.0951119,35.8468673,127.0968790,216
미원상사(주) 전주공장,전북특별자치도 완주군 봉동읍 완주산단1로 167,냉동,저장소,35.9416278,127.1394029,35.9414224,127.1370635,212
미원스페셜티케미칼(주),전북특별자치도 완주군 봉동읍 완주산단1로 167,냉동,제조,35.9416278,127.1394029,35.9414224,127.1370635,212
한국원자력연구원,"전북특별자치도 정읍시 금구길 29, 한국원자력연구원 (신정동)",냉동,제조,35.5122600,126.8328647,35.5130203,126.8350023,211
한국원자력연구원,전북특별자치도 정읍시 금구길 29 (신정동),냉동,제조,35.5122600,126.8328647,35.5130203,126.8350023,211
계명양만,전북특별자치도 고창군 심원면 만돌4길 28,,저장소,35.5304630,126.5163398,35.5319509,126.5177655,210
남원의료원,전북특별자치도 남원시 충정로 365 (고죽동),일반,저장소,35.4318558,127.4081466,35.4329979,127.4063050,210
전북대학교병원,전북특별자치도 전주시 덕진구 건지로 20 (금암동),,저장소,35.8470083,127.1407598,35.8481901,127.1425415,208
CJ제일제당(주)남원공장,전북특별자치도 남원시 인월면 천왕봉로 135-53,,저장소,35.4548604,127.6122903,35.4567226,127.6123812,207
전북대학교(BIC 도서관),"전북특별자치도 전주시 덕진구 백제대로 567  (덕진동1가,전북대학교)",,저장소,35.8479468,127.1296173,35.8463137,127.1285175,207
(주)은산비엔에스티,전북특별자치도 군산시 자유무역로 140  (오식도동),,저장소,35.9568666,126.5508158,35.9572041,126.5485845,204
광전자(주) 2공장,전북특별자치도 익산시 석암로13길 152 (팔봉동),일반,제조,35.9602998,127.0045361,35.9584950,127.0041386,204
광전자(주),전북특별자치도 익산시 약촌로8길 62-21 (어양동),일반,저장소,35.9482625,126.9820133,35.9474496,126.9839987,200
국립전주박물관,전북특별자치도 전주시 완산구 쑥고개로 249 (효자동2가),냉동,제조,35.8012943,127.0897607,35.8010192,127.0919512,200
서진산업(주),전북특별자치도 완주군 봉동읍 테크노밸리로 112-75,냉동,제조,35.9418842,127.1155587,35.9403285,127.1166695,200
서진산업(주) 전주공장,전북특별자치도 완주군 봉동읍 테크노밸리로 112-75,,저장소,35.9418842,127.1155587,35.9403285,127.1166695,200
풀무원다논 주식회사,전북특별자치도 무주군 무주읍 당산강변로 32,냉동,제조,35.9972394,127.6470514,35.9954965,127.6465990,198
국립원예특작과학원,전북특별자치도 완주군 이서면 농생명로 100,,저장소,35.8334029,127.0358328,35.8318036,127.0349846,194
에스케이넥실리스 주식회사 정읍공장,전북특별자치도 정읍시 북면 3산단2길 2,냉동,제조,35.6109439,126.9107833,35.6126798,126.9108560,193
에스케이넥실리스 주식회사 정읍공장,전북특별자치도 정읍시 북면 3산단2길 2,냉동,제조,35.6109439,126.9107833,35.6126798,126.9108560,193
플렉시온(주),전북특별자치도 정읍시 북면 3산단2길 2,냉동,제조,35.6109439,126.9107833,35.6126798,126.9108560,193
에스케이넥실리스 주식회사 정읍공장,전북특별자치도 정읍시 북면 3산단2길 2,냉동,제조,35.6109439,126.9107833,35.6126798,126.9108560,193
(주)농협유통 전주농산물종합유통센타,전북특별자치도 전주시 덕진구 비석날로 20 (여의동),냉동,제조,35.8530871,127.0779433,35.8541725,127.0795364,188
